trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,stop_note
20-L.1452.111.128.B.8.89845549,15:08:01,15:08:01,217935,1,,0,1,0.00,1,
20-L.1452.111.128.B.8.89845549,15:13:00,15:13:30,217427,2,,0,0,5640.32,1,
20-L.1452.111.128.B.8.89845549,15:17:00,15:19:00,216762,3,,0,0,9061.24,1,
20-L.1452.111.128.B.8.89845549,15:22:30,15:23:00,2170811,4,,0,0,12188.19,1,
20-L.1452.111.128.B.8.89845549,15:26:30,15:27:30,2170821,5,,0,0,15385.90,1,
20-L.1452.111.128.B.8.89845549,15:29:30,15:30:00,2170831,6,,0,0,16927.67,1,
20-L.1452.111.128.B.8.89845549,15:32:30,15:33:00,2166271,7,,0,0,18988.31,1,
20-L.1452.111.128.B.8.89845549,15:34:30,15:35:00,2166281,8,,0,0,19954.84,1,
20-L.1452.111.128.B.8.89845549,15:37:12,15:37:42,2165201,9,,0,0,22011.55,1,
20-L.1452.111.128.B.8.89845549,15:40:12,15:40:42,2161261,10,,0,0,23569.96,1,
20-L.1452.111.128.B.8.89845549,15:42:54,15:43:24,2161251,11,,0,0,25305.99,1,
20-L.1452.111.128.B.8.89845549,15:45:48,15:46:18,2160261,12,,0,0,27511.58,1,
20-L.1452.111.128.B.8.89845549,15:49:12,15:49:42,2142323,13,,0,0,29727.70,1,
20-L.1452.111.128.B.8.89845549,15:52:42,15:53:12,2144243,15,,0,0,32379.02,1,
20-L.1452.111.128.B.8.89845549,15:55:42,15:56:12,2141313,16,,0,0,34358.16,1,
20-L.1452.111.128.B.8.89845549,15:58:36,15:59:06,214063,17,,0,0,36699.66,1,
20-L.1452.111.128.B.8.89845549,16:03:00,16:04:00,2135237,19,,0,0,39143.70,1,
20-L.1452.111.128.B.8.89845549,16:06:30,16:07:00,213495,20,,0,0,40321.62,1,
20-L.1452.111.128.B.8.89845549,16:09:30,16:10:00,2131123,22,,0,0,42633.76,1,
20-L.1452.111.128.B.8.89845549,16:19:00,16:19:30,2015135,29,,0,0,49742.68,1,
20-L.1452.111.128.B.8.89845549,16:21:30,16:21:30,2000337,30,,1,0,50945.91,1,
754C.1452.111.2.A.8.89849426,16:24:01,16:24:01,2000337,1,,0,1,0.00,1,
754C.1452.111.2.A.8.89849426,16:26:42,16:27:42,2000396,2,,0,0,1257.79,1,
754C.1452.111.2.A.8.89849426,16:29:18,16:30:00,2000406,3,,0,0,2125.74,1,
754C.1452.111.2.A.8.89849426,16:32:00,16:32:30,2000352,4,,0,0,3017.08,1,
754C.1452.111.2.A.8.89849426,16:35:00,16:35:30,2000382,5,,0,0,4473.45,1,
754C.1452.111.2.A.8.89849426,16:37:00,16:37:30,2000372,6,,0,0,5112.54,1,
754C.1452.111.2.A.8.89849426,16:40:00,16:41:00,2000343,7,,0,0,6055.11,1,
754C.1452.111.2.A.8.89849426,16:44:06,16:44:36,2015112,8,,0,0,8686.32,1,
754C.1452.111.2.A.8.89849426,16:47:12,16:47:42,2020112,9,,0,0,11166.37,1,
754C.1452.111.2.A.8.89849426,16:49:30,16:50:00,202092,10,,0,0,12715.93,1,
754C.1452.111.2.A.8.89849426,16:52:00,16:52:30,2020102,11,,0,0,14187.61,1,
754C.1452.111.2.A.8.89849426,16:54:36,16:55:06,2205112,12,,0,0,15484.56,1,
754C.1452.111.2.A.8.89849426,16:57:00,16:57:30,2205102,13,,0,0,16826.47,1,
754C.1452.111.2.A.8.89849426,16:59:30,17:00:00,2207272,14,,0,0,18283.28,1,
754C.1452.111.2.A.8.89849426,17:01:42,17:02:12,2207282,15,,0,0,19551.70,1,
754C.1452.111.2.A.8.89849426,17:04:00,17:04:30,2208142,16,,0,0,20807.80,1,
754C.1452.111.2.A.8.89849426,17:06:48,17:07:18,2209142,17,,0,0,22869.84,1,
754C.1452.111.2.A.8.89849426,17:09:00,17:09:30,2209152,18,,0,0,23919.74,1,
